,Name,Id,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,2021,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
1,Year 2020,08ejYlzduA6O82FJgnFKQz,2021,0.805,0.417,4,-11.722,0,0.0462,0.508,0.0201,0.0903,0.548,129.984
2,good 4 u,6PERP62TejQjgHu81OHxgM,2021,0.556,0.661,6,-5.052,0,0.204,0.3,0.0,0.101,0.668,168.56
3,King,4Z5JHGbdQX1EkeAHQSXPXR,2021,0.559,0.837,4,-4.062,0,0.0391,0.0617,0.0,0.393,0.446,119.958
4,RAPSTAR,43PGPuHIlVOc04jrZVh9L6,2021,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039
5,"Year,2015",0UsmyJDsst2xhX1ZiFF3JW,2021,0.314,0.0855,9,-15.775,1,0.0342,0.969,0.795,0.16,0.161,69.893
6,traitor,5CZ40GBx1sQ9agT82CLQCT,2021,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607
7,After Me - 2021 Version,5BJs3aDrKYBRkzrhaVxf89,2021,0.462,0.855,1,-4.336,0,0.0428,8.06e-06,0.000346,0.0745,0.516,89.996
8,good 4 u,4ZtFanR9U6ndgddUvNcjcG,2021,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
9,Anthem for the Year 2020,12znYKi8PvKGmv5yfhp3xX,2021,0.356,0.0737,0,-34.058,1,0.058,0.904,0.944,0.059,0.888,143.632
10,MONTERO (Call Me By Your Name),67BtfxlNbhBmCDR2L2l8qd,2021,0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,178.818
11,Spyhunter - 2021 Version,646K2dKvCr8Nqy3XaSRHHM,2021,0.423,0.94,5,-4.274,0,0.0605,0.000118,0.000375,0.322,0.694,179.979
12,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,2021,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03
13,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,2021,0.39,0.455,4,-4.247,1,0.0316,0.397,0.0,0.125,0.358,107.012
14,brutal,6SRsiMl7w1USE4mFqrOhHC,2021,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
15,Greater Than/Less Than - 2021 Version,3AXH7PCgnMVIlafuRAMhdL,2021,0.436,0.905,9,-4.428,1,0.0369,0.000346,0.000219,0.103,0.072,106.982
16,favorite crime,5JCoSi02qi3jJeHdZXMmR8,2021,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929
17,Longest Year - 2020,51TAp7p7B3xboCl5HWmEkF,2021,0.0692,0.285,2,-14.854,1,0.0482,0.7,0.673,0.199,0.0312,78.572
18,happier,2tGvwE8GcFKwNdAXMnlbfl,2021,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924
19,Spoonman - 2021 Version,3psaFVjImZJfCvanJ3mlZA,2021,0.396,0.917,0,-4.384,1,0.0415,6.17e-05,0.482,0.51,0.608,93.226
20,deja vu,61KpQadow081I2AsbeLcsb,2021,0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088
21,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,2021,0.42,0.281,11,-8.204,1,0.0334,0.829,0.0,0.376,0.229,119.515
22,enough for you,2TOzTqQXNmR2zDJXihjZ2e,2021,0.638,0.259,7,-10.706,1,0.0898,0.753,0.0,0.219,0.269,88.485
